,LSOA21CD,IMD_decile,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
0,E01000001,8,2.36511456,1.966101695,5432.9,5.492227979
1,E01000002,10,1.771956857,2.312138728,1430.7,3.839732888
2,E01000003,8,8.77076412,3.161810291,2913.9,2.868852459
3,E01000005,5,20.49947971,7.181818182,6049.4,4.606525912
4,E01000006,4,20.58618283,3.410936654,4311.9,1.889338731
5,E01000007,2,16.80555556,3.370013755,5522,2.64446621
6,E01000008,2,20.8101668,4.3454039,3458.3,5.680119581
7,E01000009,2,25.0177683,4.986149584,2205.3,4.963680387
8,E01000011,2,25.37878788,4.347826087,4870.7,3.580901857
9,E01000012,2,19.64512041,3.537936914,1414.8,4.352941176
10,E01000013,3,25.39341917,5.932656334,2944.9,5.751173709
11,E01000014,3,25.81377744,4.625928041,1304.4,5.72755418
12,E01000015,3,22.59365994,4.011579818,4494.8,5.670103093
13,E01000016,4,22.25392297,4.754186926,4827.5,4.42804428
14,E01000017,3,25.15337423,6.554524362,3367,4.203539823
15,E01000018,3,24.79704797,5.802816901,3470.3,6.147540984
16,E01000019,3,23.69991475,4.82509047,6994.5,5.081300813
17,E01000020,3,26.57125078,8.215426746,5757.4,5.172413793
18,E01000021,2,23.90599676,5.483490566,6653.3,4.233870968
19,E01000022,3,22.8440367,5.156037992,10006.7,5.123339658
20,E01000024,3,23.70304114,5.117845118,2309.8,5.361305361
21,E01000025,3,28.16608997,5.625,2434.5,3.75
22,E01000027,3,25.62373567,6.724303554,7796.2,5.054151625
23,E01000028,2,24.38843588,6.27753304,4939.1,5.046728972
24,E01000029,5,23.66040362,5.161998902,8425.6,4.118616145
25,E01000030,2,22.40373396,5.774483028,1815.6,5.882352941
26,E01000031,5,20.35842294,4.627539503,3509.3,5.277044855
27,E01000032,3,23.07692308,5.197305101,2065.8,5.01285347
28,E01000033,2,27.8322926,7.12896954,3674.6,6.276747504
29,E01000034,3,27.94001579,6.666666667,2396.5,2.226027397
30,E01000035,3,27.70919067,6.827956989,3703.2,4.173913043
31,E01000036,4,23.74784111,4.693877551,3818.5,3.249097473
32,E01000037,5,20.7977208,3.299941072,704.4,4.517704518
33,E01000038,5,23.15462315,5.012376238,1864.1,5.592543276
34,E01000039,6,22.44297277,4.166666667,4879.2,4.679376083
35,E01000040,2,30.51209104,5.215540181,4018.6,4.881889764
36,E01000041,4,25.38181818,4.125950054,1292.2,4.273504274
37,E01000042,2,22.77526395,5.68544102,215,2.040816327
38,E01000043,3,23.91125719,5.204944697,4391.7,3.727714749
39,E01000044,3,22.14095745,5.382293763,5344.6,4.411764706
40,E01000045,2,22.79469165,5.113306217,5035.2,5.518169583
41,E01000046,3,24.1046832,6.492842536,4110.1,4.607721046
42,E01000049,2,21.06038292,4.967055246,7042.8,7.692307692
43,E01000050,3,21.14118508,4.4045677,69.3,2.733686067
44,E01000051,3,11.64556962,0.996376812,4504,2.120717781
45,E01000052,2,25.46948357,4.434121622,4777.4,3.012048193
46,E01000053,3,25.3101737,6.184291899,165.3,3.368421053
47,E01000054,3,24.1025641,4.868913858,863.3,1.622418879
48,E01000055,3,23.31002331,4.692082111,1225.5,2.119205298
49,E01000056,2,26.10410095,5.816686251,4297.9,3.194444444
50,E01000057,3,24.65156794,5.096774194,4386.5,3.211009174
51,E01000058,3,22.69013199,5.761124122,7005.4,3.93442623
52,E01000059,3,25.67463377,4.792518995,1734.5,3.337041157
53,E01000060,3,22.63056093,5.733944954,9909.5,4.448398577
