LSOA21CD,band_1_mean,band_2_mean,band_3_mean,band_4_mean,band_5_mean,band_6_mean,band_7_mean,band_1_stdev,band_2_stdev,band_3_stdev,band_4_stdev,band_5_stdev,band_6_stdev,band_7_stdev
E01000001,9045.95759753319,9337.67728381648,9932.626637858404,10032.51654673106,11766.852844725103,11331.60261109059,10413.945507528239,719.2103549517736,726.9066155612281,916.2370818818187,995.7326332766804,1968.0407881730903,1319.943135369974,1035.6643471846057
E01000002,9089.642506858769,9434.199915064932,10026.246850550633,10154.483337301654,11394.728361352729,11309.325513419411,10423.90722543369,867.8695007217611,985.2252897269176,1136.62390083429,1319.4592331404465,1694.3605742677958,1732.5655211766268,1463.2817827037566
E01000003,9325.231945781341,9597.43281963013,10173.861356514873,10297.926991765578,12314.237092665308,11807.224375072063,10722.775999923404,656.064862107766,695.9611772347465,795.1866405062394,924.4910282637851,1684.6520266346358,1200.000284322575,927.2278540885442
E01000005,9334.111200776853,9595.257819653303,10106.214793961355,10280.362138032533,11393.82771525247,11487.028915771505,10794.883461193473,566.5627753999952,621.1216420399874,729.7725132792575,811.499387705254,1254.313406412993,1117.264708206267,906.458602188358
E01000006,9043.150207945062,9262.264617964476,9857.878024014935,10060.270729025306,13122.604067296972,12394.307424652503,11180.170006363442,246.15779239953358,252.61483436927668,298.2992332282849,387.7061537329469,789.145104029815,514.3434722946928,451.9832945035159
E01000007,9021.199415219344,9358.351898646915,10054.534156139516,10249.525056360808,12981.406296294057,12538.31418280909,11408.517178088112,510.5059065328804,586.7217112161366,685.1780209936551,866.0690372693882,1436.6584339036392,1786.660418034578,1994.7891617190694
E01000008,9393.051099112643,9761.774737287102,10563.235151049128,10700.918098326612,14755.08363970237,13369.516338017216,11690.179432359588,1167.337555977508,1341.885097895063,1597.088617467668,1823.739599084122,2254.6978158742404,1604.9988052740487,1567.2143772164625
E01000009,9156.926905425498,9429.101287338735,10045.805781020448,10287.62342218643,12680.002370876873,12301.398158603355,11248.230723650637,613.725543743063,627.9342026360468,731.1392315513965,854.4919202640542,1060.1328553685307,710.7239278192023,622.8360108363805
E01000011,8942.270948878962,9181.620039018297,9767.200995602694,9981.616714928783,12902.843356496343,12387.317302790816,11235.486871149693,400.9419012490863,413.99776313612915,456.1128225419313,654.0203639045928,1204.684119496436,710.5761186821566,830.1268845473785
E01000012,8791.411810968291,9079.380404396143,9754.639910198453,9908.476654392174,12992.546932331217,12083.192627150216,10904.118724972177,289.1264759079789,340.0366133277308,390.1423738056921,499.7604714862363,916.6385195537616,659.6856883894505,632.9521678051647
E01000013,8929.109414223063,9162.24370632234,9854.889331531207,10036.104609392516,13753.858119904708,12787.767103880371,11297.793876113508,297.01302501140276,324.03252557274305,413.55024212213704,522.2843267274271,1087.0444237080017,685.1798474274938,497.908560887342
E01000014,9064.982884341305,9290.310147830834,10131.81228343523,10354.32281423681,15996.495629020475,15403.127084997346,12404.40180642667,261.4391708929559,310.9306514099898,432.46792497488246,644.9718238650212,2290.2280361111125,2488.7044077155833,1132.1886508566488
E01000015,8985.397695089714,9188.049134057135,9898.080043660684,9954.412157830404,15218.683284075782,13532.721642454195,11481.639638734221,376.4699277639201,458.81731250660954,442.17453714600634,603.9825930730331,2414.003926403213,1082.7134557621357,678.3683875484008
E01000016,9234.856996305432,9502.14199424872,10248.858369256623,10565.44706303841,14043.621225058889,13448.355477976622,11982.669122766885,586.1830467254177,704.2068918228422,920.3742669618186,1200.9011893550046,1143.847181364837,1047.8070329046514,1012.0986391708061
E01000017,8960.360967966872,9183.177740480904,9869.396852706774,10112.937792132903,13888.334122662127,13120.658630842276,11585.553816020325,232.93180889343185,259.99346722413225,289.32393148776583,428.31607538986776,852.1196660369998,446.93773727656924,492.9795795234762
E01000018,8996.1195514648,9198.098407541404,9857.406698774357,10047.073197339228,14012.302412477467,13115.757841573786,11553.739647681405,259.2579965762988,268.61535757832286,267.91184286401614,408.34692171974336,941.4677935755407,500.1875352329773,493.4385054015783
E01000019,8940.287614288269,9175.526893060978,9858.441972839268,10011.953809873281,13914.6780838598,13003.737417642147,11450.591660595837,320.3914238194222,355.45130170689947,381.6298572043151,517.3457804396752,1122.5856895973466,507.7193086181256,515.3596149298949
E01000020,8825.406816648065,9044.776443223625,9736.775263421276,9879.114392157455,13943.59817173621,12915.100245640426,11339.643869909034,266.64495392318685,290.2246880151248,310.72156221097316,426.88199932271715,939.2833122909094,465.36839539480314,475.40433613132814
E01000021,8845.379867539177,9058.095390814133,9726.037358271275,9867.015600874358,13734.010686757976,12790.816005453908,11295.816852961074,281.07160528847356,277.68153895067206,292.82232976260883,432.905299984442,1433.9108016631692,643.3598457530877,453.7172823013956
