,LSOA21CD,imd25_rank,led25_rank,imd19_score,led19_score,grid_id,train_test
0,E01000001,26525,244,6.208,31.873,10,test
1,E01000002,31203,3702,5.143,23.084,10,test
2,E01000003,25913,4540,19.402,40.535,10,test
3,E01000005,14807,5403,28.652,28.979,9,train
4,E01000006,10917,9479,19.837,26.888,14,train
5,E01000007,5377,13172,31.576,25.995,14,train
6,E01000008,4400,12457,37.596,30.233,14,train
7,E01000009,4812,3118,32.844,28.601,14,train
8,E01000011,5535,1226,30.679,39.857,14,train
9,E01000012,5278,10579,34.714,36.881,14,train
10,E01000013,7410,9239,38.997,30.424,18,train
11,E01000014,9243,10503,35.67,25.122,18,train
12,E01000015,8120,15760,33.632,25.696,18,train
13,E01000016,10202,14906,32.839,24.95,18,train
14,E01000017,7452,12607,39.004,27.688,18,train
15,E01000018,8300,16806,33.406,25.659,18,train
16,E01000019,7965,15090,33.62,26.826,18,train
17,E01000020,8264,11334,36.035,30.078,18,train
18,E01000021,5192,7499,38.888,44.214,18,train
19,E01000022,8043,16522,34.413,30.435,18,train
20,E01000024,8426,11190,29.339,29.869,18,train
21,E01000025,8359,11891,36.702,28.042,18,train
22,E01000027,6841,20382,37.347,20.329,18,train
23,E01000028,6021,21166,40.078,16.282,18,train
24,E01000029,15432,12628,22.503,21.974,18,train
25,E01000030,6345,15351,38.415,20.993,18,train
26,E01000031,13927,9636,22.672,27.703,18,train
27,E01000032,10040,10586,29.958,38.369,18,train
28,E01000033,6743,15367,37.978,21.763,18,train
29,E01000034,8994,23718,35.895,18.01,18,train
30,E01000035,8514,11097,26.175,23.071,18,train
31,E01000036,10874,8173,19.27,27.612,18,train
32,E01000037,16580,19709,17.988,19.057,18,train
33,E01000038,16728,14678,19.646,27.001,18,train
34,E01000039,17151,24502,22.288,17.527,18,train
35,E01000040,5208,6235,34.608,29.323,14,train
36,E01000041,10397,11142,33.173,33.127,18,train
37,E01000042,4753,13981,41.573,24.75,18,train
38,E01000043,9631,6723,28.075,33.853,14,train
39,E01000044,7562,2430,28.389,44.13,14,train
40,E01000045,6387,7659,35.688,35.245,18,train
41,E01000046,9497,14190,29.763,30.26,18,train
42,E01000049,5459,2020,41.172,26.588,14,train
43,E01000050,7897,5522,34.701,36.588,14,train
44,E01000051,7571,10529,36.941,27.521,14,train
45,E01000052,6208,2701,33.284,38.532,14,train
46,E01000053,6763,10796,40.044,26.503,18,train
47,E01000054,9055,14406,29.788,31.481,18,train
48,E01000055,8945,11738,30.898,29.369,18,train
49,E01000056,4599,15858,35.903,23.506,18,train
50,E01000057,8843,10088,32.887,30.046,18,train
51,E01000058,8503,16406,31.763,27.809,18,train
52,E01000059,9848,16341,32.331,32.699,18,train
53,E01000060,7035,8489,36.154,24.729,18,train
54,E01000061,1545,8765,46.283,15.967,18,train
55,E01000062,10394,11691,26.669,20.153,18,train
56,E01000063,10883,12140,33.371,35.452,18,train
57,E01000064,7649,14916,35.283,34.175,18,train
58,E01000065,5811,10036,39.89,29.31,18,train
59,E01000066,13708,14599,25.763,17.916,18,train
60,E01000067,11472,7859,20.973,21.711,18,train
61,E01000068,12348,11102,25.603,31.382,14,train
62,E01000069,18866,17063,16.375,28.36,14,train
63,E01000070,12968,7399,21.038,27.639,14,train
64,E01000071,13366,13867,18.848,22.064,14,train
65,E01000072,5523,6898,41.016,30.082,18,train
66,E01000073,8025,10492,38.757,23.636,18,train
67,E01000074,8640,9762,35.044,22.806,18,train
68,E01000075,10481,8544,36.999,39.815,18,train
69,E01000076,8315,10215,36.246,27.02,18,train
70,E01000077,6646,7518,41.032,35.02,18,train
71,E01000078,7165,8071,35.033,33.091,18,train
72,E01000079,9422,16120,34.522,29.325,18,train
73,E01000080,9673,13664,33.185,24.492,18,train
74,E01000081,11202,14652,30.608,32.758,18,train
75,E01000082,8446,12681,27.895,30.006,18,train
76,E01000083,6814,6881,34.377,35.395,18,train
77,E01000084,6644,7941,39.815,28.534,18,train
78,E01000085,5699,6777,35.154,32.465,18,train
79,E01000086,6870,12202,38.156,26.281,18,train
80,E01000087,7092,6133,34.357,31.357,18,train
81,E01000088,9752,12320,28.849,34.525,18,train
82,E01000089,8110,16650,28.968,40.955,18,train
83,E01000090,8847,20237,28.317,29.464,18,train
84,E01000091,4644,15324,42.183,23.563,18,train
85,E01000093,3999,10007,46.922,43.57,18,train
86,E01000094,12032,19946,28.182,20.692,18,train
87,E01000095,6862,15586,32.254,18.657,18,train
88,E01000096,6611,15095,40.926,29.982,18,train
89,E01000097,7385,9785,38.009,28.566,18,train
90,E01000098,5725,6652,39.405,28.673,18,train
91,E01000099,11925,21995,29.266,26.795,18,train
92,E01000100,9927,15315,31.83,38.207,18,train
93,E01000101,6585,10463,40.463,37.223,18,train
94,E01000102,6771,10747,42.631,33.8,18,train
95,E01000103,10456,19583,32.894,20.068,18,train
96,E01000104,6517,12897,34.672,18.066,18,train
97,E01000105,4451,15361,44.149,25.589,18,train
98,E01000106,3580,14516,43.523,26.265,18,train
99,E01000107,12519,18693,28.332,22.813,18,train
100,E01000108,9311,9835,28.166,35.136,18,train
101,E01000110,16154,10784,17.741,20.544,18,train
102,E01000111,9532,8239,28.903,26.789,18,train
103,E01000112,10982,9157,24.743,40.766,18,train
104,E01000113,8791,4513,25.268,26.945,18,train
105,E01000114,9786,6953,23.288,34.274,18,train
106,E01000115,30546,14505,6.227,18.838,11,train
107,E01000116,25568,9576,7.79,18.248,11,train
108,E01000117,25250,15826,9.642,17.66,11,train
109,E01000118,23486,11052,9.812,16.261,11,train
110,E01000119,27394,16272,11.589,21.949,11,train
111,E01000120,29768,15972,5.902,14.872,11,train
112,E01000121,8255,20589,36.203,13.339,11,train
113,E01000122,26263,12463,10.152,21.817,11,train
114,E01000123,18894,9692,11.048,15.659,11,train
115,E01000124,11873,7801,23.589,20.768,11,train
116,E01000126,6096,19324,33.625,24.433,6,train
117,E01000127,8055,15116,27.543,22.92,6,train
118,E01000128,8961,8666,27.055,27.146,6,train
119,E01000129,3668,7846,31.0,25.543,6,train
120,E01000130,9376,14461,30.863,35.288,6,train
121,E01000131,12031,9031,20.904,20.979,6,train
122,E01000132,7980,11752,25.53,25.837,6,train
123,E01000133,7811,13190,30.774,26.72,6,train
124,E01000134,10065,12692,24.669,27.225,6,train
125,E01000135,23144,9820,12.523,33.536,10,test
126,E01000136,25507,3718,8.96,36.198,10,test
127,E01000137,7934,16716,28.786,22.835,10,test
128,E01000138,8092,5961,27.86,31.895,6,train
129,E01000139,17259,2351,12.388,29.28,10,test
130,E01000140,17297,9234,16.817,30.341,10,test
131,E01000141,4170,1024,28.797,52.22,6,train
132,E01000142,9739,12612,16.669,28.68,6,train
133,E01000143,7234,12257,31.342,19.252,6,train
134,E01000144,11364,6356,18.338,29.17,10,test
135,E01000145,12393,5143,14.626,32.598,6,train
136,E01000146,10219,4121,18.538,29.849,10,test
137,E01000147,14403,7807,12.786,33.415,6,train
138,E01000150,11057,13484,15.583,33.545,6,train
139,E01000151,2331,11008,38.897,19.735,6,train
140,E01000152,14739,16308,32.418,16.001,6,train
141,E01000153,6211,14448,41.649,18.106,6,train
142,E01000154,8072,16919,32.667,22.744,6,train
143,E01000156,22937,10399,8.319,19.997,10,test
144,E01000157,16817,9121,12.655,32.014,10,test
145,E01000158,16312,6565,19.721,31.142,11,train
146,E01000159,19763,7812,16.257,17.393,11,train
147,E01000160,17253,11636,12.121,26.093,11,train
148,E01000161,12075,9032,14.513,20.014,11,train
149,E01000162,15020,6122,18.504,27.187,11,train
150,E01000163,6827,14172,28.541,21.987,10,test
151,E01000164,6291,7540,25.331,28.698,10,test
152,E01000165,17435,17065,13.258,16.048,11,train
153,E01000166,16226,21605,14.861,13.626,11,train
154,E01000167,8818,19314,28.35,18.27,11,train
155,E01000168,30038,19486,6.975,21.5,11,train
156,E01000169,20384,9543,13.226,25.647,11,train
157,E01000170,13655,8085,20.384,25.376,11,train
158,E01000171,6645,11536,24.261,33.967,11,train
159,E01000172,26429,10113,8.421,25.96,11,train
160,E01000173,22614,7383,9.709,23.152,11,train
161,E01000174,11343,5336,16.271,29.971,11,train
162,E01000175,28185,14023,7.614,15.768,11,train
163,E01000176,8191,15250,30.549,17.867,10,test
164,E01000177,22043,2286,8.263,29.925,10,test
165,E01000178,21494,4298,8.055,23.749,10,test
166,E01000179,22508,10307,8.467,19.606,10,test
167,E01000180,13873,9400,14.555,19.421,10,test
168,E01000181,24222,1819,8.204,29.674,10,test
169,E01000182,24648,3201,8.01,37.424,10,test
170,E01000183,24705,8469,10.613,20.769,10,test
171,E01000184,7094,8615,31.921,35.661,10,test
172,E01000185,7824,8450,25.824,19.475,10,test
173,E01000186,27074,18524,5.195,18.927,7,train
174,E01000187,13592,14757,13.015,14.508,7,train
175,E01000188,19783,18015,8.028,27.374,7,train
176,E01000189,10799,24506,24.526,43.589,7,train
177,E01000190,21827,17271,10.149,16.24,7,train
178,E01000191,19496,9566,6.834,18.833,7,train
179,E01000192,10974,6426,15.472,28.127,7,train
180,E01000193,9746,9896,16.117,33.122,7,train
181,E01000194,6427,4543,19.392,29.783,6,train
182,E01000195,5694,14749,26.999,19.966,7,train
183,E01000196,13501,9221,12.284,22.92,10,test
184,E01000197,16832,2922,12.516,34.534,10,test
185,E01000198,17271,10782,11.841,25.751,6,train
186,E01000199,24629,10471,7.222,16.028,6,train
187,E01000200,20709,8908,9.566,19.86,6,train
188,E01000201,30556,9826,7.184,32.502,6,train
189,E01000202,23617,6582,6.735,23.038,10,test
190,E01000203,10536,11383,15.523,24.962,10,test
191,E01000204,21823,6558,10.063,27.209,6,train
192,E01000205,25607,11490,7.725,23.489,10,test
193,E01000206,27469,7847,9.118,24.319,10,test
194,E01000207,23375,3206,6.585,27.164,10,test
195,E01000208,25003,3590,6.612,22.502,10,test
196,E01000209,26229,6457,7.058,22.769,10,test
197,E01000210,22107,2947,8.197,27.374,10,test
198,E01000211,10442,6480,14.568,27.757,10,test
199,E01000212,19531,1683,10.294,25.698,10,test
200,E01000213,26870,4496,7.583,31.33,10,test
201,E01000214,23859,6537,10.503,23.936,10,test
202,E01000215,9962,5971,13.565,22.19,6,train
203,E01000216,14573,7117,10.017,21.24,10,test
204,E01000217,13780,7074,10.826,29.261,6,train
205,E01000218,10123,4441,15.33,25.532,6,train
206,E01000219,7512,4512,19.87,31.116,6,train
207,E01000220,8812,9023,17.109,29.431,6,train
208,E01000221,4126,7916,45.842,29.763,6,train
209,E01000222,9546,12008,27.098,29.883,6,train
210,E01000223,5458,7401,35.812,28.472,6,train
211,E01000224,8840,10173,19.679,27.142,6,train
212,E01000225,15941,9983,10.981,22.709,6,train
213,E01000226,6353,9648,31.658,30.803,6,train
214,E01000227,23509,15397,9.965,18.465,7,train
215,E01000228,17707,21282,12.492,17.002,7,train
216,E01000229,8616,15373,21.609,18.134,7,train
217,E01000230,16377,18424,7.886,14.054,7,train
218,E01000231,12266,11574,17.628,22.468,7,train
219,E01000232,16265,10933,14.534,20.257,7,train
220,E01000233,23211,12087,8.853,20.027,7,train
221,E01000234,19832,11256,8.657,18.383,7,train
222,E01000235,11785,8607,23.347,28.246,6,train
223,E01000236,11276,4749,10.572,26.189,6,train
224,E01000237,13294,6382,9.545,29.614,6,train
225,E01000238,13608,7453,14.457,31.179,6,train
226,E01000239,10513,8975,21.568,25.352,6,train
227,E01000240,10468,9125,19.599,28.397,6,train
228,E01000241,18025,11429,10.706,24.967,6,train
229,E01000242,19152,10690,19.154,21.089,6,train
230,E01000243,11123,7161,14.093,37.611,6,train
231,E01000244,11148,2063,15.649,45.264,6,train
232,E01000245,7294,15194,24.116,29.665,6,train
233,E01000246,26905,10405,10.621,21.694,11,train
234,E01000247,21123,12386,10.138,13.317,11,train
235,E01000248,23071,3177,7.296,19.701,7,train
236,E01000249,31123,13431,5.863,16.223,7,train
237,E01000250,19311,12674,13.03,20.775,11,train
238,E01000251,11137,11766,18.853,22.749,11,train
239,E01000252,18199,9281,13.376,13.639,11,train
240,E01000253,30230,19010,9.449,11.349,7,train
241,E01000254,28838,5123,7.764,29.206,11,train
242,E01000255,13313,12702,18.729,24.066,7,train
243,E01000256,19859,14001,10.628,18.002,6,train
244,E01000257,12991,8636,25.001,21.402,6,train
245,E01000258,22855,8144,9.156,25.212,7,train
246,E01000259,17181,12644,13.364,19.213,6,train
247,E01000260,12190,10208,19.85,24.416,6,train
248,E01000261,28126,10973,7.628,18.535,7,train
249,E01000263,32419,22506,5.865,20.901,7,train
250,E01000264,12189,7772,16.482,29.859,7,train
251,E01000265,13950,12928,15.103,21.211,11,train
252,E01000266,32599,16959,8.023,20.379,11,train
253,E01000267,23426,6867,12.75,30.675,11,train
254,E01000268,10060,9493,15.262,22.772,11,train
255,E01000269,22327,4499,10.434,22.356,11,train
256,E01000270,22955,10554,11.98,21.073,11,train
257,E01000271,28338,12924,6.648,16.985,11,train
258,E01000272,32104,20126,4.839,14.362,11,train
259,E01000273,15504,8844,14.148,18.949,11,train
260,E01000274,15706,7815,15.582,22.706,11,train
